seed,fitness original,fitness BT-Factor,fitness RE-BT,BT-Factor: delta fitness,BT-Factor (DNF) delta fitness,RE:BT: delta fitness,Possible to minimize?,Original battery over?,BT-Factor battery over?,BT-Factor dnf battery over?,RE:BT battery over?,RE:BT (no pruning) battery over?
284,45,45,43,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
285,39.5,39.5,31.5,0,0,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
286,44,44,44,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
287,35,35,35,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
288,43,43,39,0,0,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
289,41,41,40,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
290,43,43,41,0,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
291,38,38,38,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
292,26,26,23,0,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
293,34,34,38,0,0,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
294,34,34,33,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
295,35,35,35,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
296,39,39,37,0,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
297,45,45,45,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
